country_code,ECONOMY,region,income_group,2014_GDP,2015_GDP,2016_GDP,2017_GDP,2018_GDP,2019_GDP,2020_GDP,2021_GDP
BEL,Belgium,Europe & Central Asia,High income,534678.0758,462149.6793,475739.5888,502764.7206,543273.7946,535288.7152,521861.2926,590422.8866
BLZ,Belize,Latin America & Caribbean,Upper middle income,1676.406802,1734.320479,1796.928937,1844.906693,1887.465219,1945.250236,1585.631671,1691.662104
BEN,Benin,Sub-Saharan Africa,Lower middle income,12144.8772,11379.54464,11821.06585,12701.65585,14262.40808,14391.68631,15205.07006,16578.28759
BMU,Bermuda,North America,High income,6413.987,6654.543,6899.912,7142.316,7224.328,7484.113,7719.040912,8149.672926
BTN,Bhutan,South Asia,Lower middle income,1907.085589,2003.596258,2158.977045,2450.366316,2446.867538,2530.559003,2483.005944,2519.78196
BOL,Bolivia (Plurinational State of),Latin America & Caribbean,Lower middle income,32996.18801,33000.19825,33941.1262,37508.68307,40287.64793,40895.32284,36572.76486,38364.68426
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,18558.7312,16211.61837,16912.95767,18080.61087,20183.68819,20202.63611,19801.30292,21841.0273
BWA,Botswana,Sub-Saharan Africa,Upper middle income,16250.74039,14420.57119,15646.41611,17405.49671,18663.28104,18362.4052,15781.67508,17529.19084
BRA,Brazil,Latin America & Caribbean,Upper middle income,2456043.766,1802212,1795693.266,2063514.689,1916933.708,1886014.572,1444733.21,1604580.765
VGB,British Virgin Islands,Latin America & Caribbean,High income,1199.68,1279.14,1403.03,1306.77,1381.87,1438.842891,1492.117304,1653.043162
BRN,Brunei Darussalam,East Asia & Pacific,High income,17097.79571,12930.29831,11400.26688,12128.16661,13566.91277,13469.24015,12002.99824,20235.94457
BGR,Bulgaria,Europe & Central Asia,Upper middle income,57082.65593,50782.02222,53952.63121,59200.84512,66361.75916,68913.7542,69887.99767,79552.4794
BFA,Burkina Faso,Sub-Saharan Africa,Low income,13924.47043,11823.20703,12833.36304,14106.95563,16059.91207,15990.80321,17369.05916,18729.25828
BDI,Burundi,Sub-Saharan Africa,Low income,2705.829235,2810.53164,2930.086948,3297.826848,3317.319375,3368.533752,3399.287173,3670.008536
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,1858.125075,1596.152976,1663.011131,1769.786532,1966.501562,1981.846171,1703.697924,1889.510721
KHM,Cambodia,East Asia & Pacific,Lower middle income,16777.80805,18049.95391,20016.75623,22177.20063,24571.75358,27097.96382,25291.25131,26748.90432
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,34942.95207,30905.25311,32643.69677,35009.2598,38694.15976,39007.35348,39880.59493,43772.99154
CAN,Canada,North America,High income,1803534.114,1556128.743,1528244.723,1649518.967,1721905.663,1741496.79,1644037.286,1989416.393
CYM,Cayman Islands,Latin America & Caribbean,High income,4637.027752,4784.70439,4989.129024,5250.264878,5522.42689,5935.555662,6256.138466,6745.949713
CAF,Central African Republic,Sub-Saharan Africa,Low income,1892.292182,1694.542946,1825.018853,2072.349974,2220.978586,2219.195548,2323.197434,2490.962335
TCD,Chad,Sub-Saharan Africa,Low income,14499.37944,11690.46004,10392.45806,10394.02023,11371.98017,11271.66391,11154.26685,12598.51333
CHL,Chile,Latin America & Caribbean,High income,260541.63,243919.0853,250440.1364,277034.6787,297571.687,279385.4784,252940.0211,314870.2616
CHN,China,East Asia & Pacific,Upper middle income,10475623.08,11061569.7,11233313.12,12310491.94,13894905.53,14279965.56,14722800.53,17298592.64
HKG,"China, Hong Kong SAR",East Asia & Pacific,High income,291459.9834,309385.6226,320839.705,341241.9722,361691.5226,365708.2026,349444.713,370314.9824
COL,Colombia,Latin America & Caribbean,Upper middle income,381112.1105,293481.7531,282825.0124,311883.7304,334198.2181,323429.8859,271346.8966,313646.9977
COM,Comoros,Sub-Saharan Africa,Lower middle income,1148.057907,965.6406887,1012.147429,1077.439756,1188.79745,1192.559711,1235.400317,1308.956375
