country_code,YEARS,GDP_USdollars_millions,GDP_per_capita_Usdollars
CRI,2020,61520.67463,12008.47428
CRI,2021,62535.28968,12133.45196
CIV,2008,24224.9055,1196.619651
CIV,2009,24277.49434,1174.087135
CIV,2010,26264.02294,1243.559219
CIV,2011,28594.74491,1326.107636
CIV,2012,31493.83047,1430.841059
CIV,2013,38803.85904,1726.974774
CIV,2014,46252.89237,2011.384042
CIV,2015,45779.97449,1940.097342
CIV,2016,47964.23334,1980.878092
CIV,2017,51588.15431,2076.147823
CIV,2018,58010.9919,2275.477336
CIV,2019,58539.60623,2238.817939
CIV,2020,61142.87972,2280.447509
CIV,2021,69155.90916,2516.750946
HRV,2008,70750.65606,16102.88271
HRV,2009,63084.00459,14395.74011
HRV,2010,60426.02046,13831.63628
HRV,2011,63169.9154,14515.67299
HRV,2012,57192.34348,13203.52976
HRV,2013,58889.08972,13666.99585
HRV,2014,58330.2977,13615.93813
HRV,2015,50163.19086,11789.74664
HRV,2016,52295.15343,12381.21126
HRV,2017,56214.4324,13408.43766
HRV,2018,62247.87836,14961.68797
HRV,2019,62246.20439,15072.62528
HRV,2020,57203.78367,13962.80517
HRV,2021,65381.69641,16103.33066
CYP,2008,27845.76561,35401.77613
CYP,2009,25943.83868,32110.35304
CYP,2010,25707.0787,30995.48207
CYP,2011,27528.8182,32356.07987
CYP,2012,24978.74833,28912.51799
CYP,2013,23892.69152,27719.99066
CYP,2014,23125.23445,27126.81117
CYP,2015,19834.55027,23399.09196
CYP,2016,20938.67751,24588.7746
CYP,2017,22870.73432,26609.16015
CYP,2018,25523.49744,29335.7363
CYP,2019,25758.99652,29207.48887
CYP,2020,24612.49863,27592.57922
CYP,2021,26888.84114,29882.81761
CZE,2008,236816.9482,22817.84981
CZE,2009,207434.2968,19904.43773
CZE,2010,209069.941,19978.49552
CZE,2011,229562.7334,21870.65972
CZE,2012,208857.7193,19870.27188
CZE,2013,211685.6166,20132.633
CZE,2014,209358.8342,19906.36219
CZE,2015,188033.0505,17867.4135
CZE,2016,196272.0686,18643.58794
CZE,2017,218628.941,20759.90971
CZE,2018,248950.1034,23631.6774
CZE,2019,252498.0322,23963.284
CZE,2020,245349.49,23297.93799
CZE,2021,283457.9285,26968.38014
DNK,2008,353358.9017,64214.95388
DNK,2009,321243.3011,58128.30748
DNK,2010,321995.2794,58008.29376
DNK,2011,344003.1376,61693.35554
DNK,2012,327148.9438,58409.45163
DNK,2013,343584.3916,61077.48921
DNK,2014,352993.6316,62469.52903
DNK,2015,302673.0708,53308.19756
